layer,pair,direction,content_id,delta,baseline,k
24,3,deploy_to_eval,c036,-0.12506866455078125,4.125173568725586,117
24,3,eval_to_deploy,c036,9.34600830078125e-05,4.125083923339844,117
24,3,unpaired_control,c036,-4.625158309936523,4.125173568725586,59
26,3,deploy_to_eval,c036,-0.1250762939453125,4.125173568725586,117
26,3,eval_to_deploy,c036,0.12506484985351562,4.125083923339844,117
26,3,unpaired_control,c036,-4.625158309936523,4.125173568725586,59
27,3,deploy_to_eval,c036,-8.96453857421875e-05,4.125173568725586,117
27,3,eval_to_deploy,c036,8.96453857421875e-05,4.125083923339844,117
27,3,unpaired_control,c036,-4.625158309936523,4.125173568725586,59
0,4,deploy_to_eval,c009,-0.12497901916503906,4.375017166137695,72
0,4,eval_to_deploy,c009,-0.4999961853027344,-0.4999847412109375,72
0,4,unpaired_control,c009,-1.124969482421875,4.375017166137695,59
2,4,deploy_to_eval,c009,-0.25,4.375017166137695,72
2,4,eval_to_deploy,c009,0.2500114440917969,-0.4999847412109375,72
2,4,unpaired_control,c009,-1.3749866485595703,4.375017166137695,59
4,4,deploy_to_eval,c009,-0.8749961853027344,4.375017166137695,72
4,4,eval_to_deploy,c009,0.5000553131103516,-0.4999847412109375,72
4,4,unpaired_control,c009,-1.9999275207519531,4.375017166137695,59
6,4,deploy_to_eval,c009,-1.625009536743164,4.375017166137695,72
6,4,eval_to_deploy,c009,1.5000743865966797,-0.4999847412109375,72
6,4,unpaired_control,c009,-1.6250133514404297,4.375017166137695,59
8,4,deploy_to_eval,c009,-1.1250057220458984,4.375017166137695,72
8,4,eval_to_deploy,c009,1.5000534057617188,-0.4999847412109375,72
8,4,unpaired_control,c009,-0.8750133514404297,4.375017166137695,59
10,4,deploy_to_eval,c009,-1.1250133514404297,4.375017166137695,72
10,4,eval_to_deploy,c009,1.1250438690185547,-0.4999847412109375,72
10,4,unpaired_control,c009,0.6249866485595703,4.375017166137695,59
12,4,deploy_to_eval,c009,-2.874998092651367,4.375017166137695,72
12,4,eval_to_deploy,c009,1.5000228881835938,-0.4999847412109375,72
12,4,unpaired_control,c009,1.9999866485595703,4.375017166137695,59
14,4,deploy_to_eval,c009,-4.624979019165039,4.375017166137695,72
14,4,eval_to_deploy,c009,4.625001907348633,-0.4999847412109375,72
14,4,unpaired_control,c009,0.6250114440917969,4.375017166137695,59
16,4,deploy_to_eval,c009,-4.874979019165039,4.375017166137695,72
16,4,eval_to_deploy,c009,4.375005722045898,-0.4999847412109375,72
16,4,unpaired_control,c009,-0.12497901916503906,4.375017166137695,59
18,4,deploy_to_eval,c009,-4.625005722045898,4.375017166137695,72
18,4,eval_to_deploy,c009,4.375005722045898,-0.4999847412109375,72
18,4,unpaired_control,c009,1.9073486328125e-05,4.375017166137695,59
20,4,deploy_to_eval,c009,-4.624994277954102,4.375017166137695,72
20,4,eval_to_deploy,c009,4.375011444091797,-0.4999847412109375,72
20,4,unpaired_control,c009,-0.3749961853027344,4.375017166137695,59
22,4,deploy_to_eval,c009,-4.625005722045898,4.375017166137695,72
22,4,eval_to_deploy,c009,4.500005722045898,-0.4999847412109375,72
22,4,unpaired_control,c009,-0.6249408721923828,4.375017166137695,59
24,4,deploy_to_eval,c009,-4.624990463256836,4.375017166137695,72
24,4,eval_to_deploy,c009,4.499998092651367,-0.4999847412109375,72
24,4,unpaired_control,c009,-0.6249637603759766,4.375017166137695,59
26,4,deploy_to_eval,c009,-4.625005722045898,4.375017166137695,72
26,4,eval_to_deploy,c009,4.875001907348633,-0.4999847412109375,72
26,4,unpaired_control,c009,-0.49996376037597656,4.375017166137695,59
27,4,deploy_to_eval,c009,-4.875001907348633,4.375017166137695,72
27,4,eval_to_deploy,c009,4.875001907348633,-0.4999847412109375,72
27,4,unpaired_control,c009,-0.7499542236328125,4.375017166137695,59
0,5,deploy_to_eval,c000,-5.7220458984375e-05,7.125127792358398,108
0,5,eval_to_deploy,c000,-0.7499370574951172,3.625062942504883,108
0,5,unpaired_control,c000,-0.24968338012695312,7.125127792358398,79
2,5,deploy_to_eval,c000,-0.2500152587890625,7.125127792358398,108
2,5,eval_to_deploy,c000,-0.7498836517333984,3.625062942504883,108
2,5,unpaired_control,c000,-0.24979782104492188,7.125127792358398,79
4,5,deploy_to_eval,c000,-0.625030517578125,7.125127792358398,108
4,5,eval_to_deploy,c000,-1.2498588562011719,3.625062942504883,108
4,5,unpaired_control,c000,-0.6247291564941406,7.125127792358398,79
6,5,deploy_to_eval,c000,-0.37508583068847656,7.125127792358398,108
6,5,eval_to_deploy,c000,-1.3749141693115234,3.625062942504883,108
6,5,unpaired_control,c000,1.124979019165039,7.125127792358398,79
8,5,deploy_to_eval,c000,-0.12508773803710938,7.125127792358398,108
8,5,eval_to_deploy,c000,-0.24981689453125,3.625062942504883,108
8,5,unpaired_control,c000,0.24994659423828125,7.125127792358398,79
10,5,deploy_to_eval,c000,-1.0000762939453125,7.125127792358398,108
10,5,eval_to_deploy,c000,-0.4996986389160156,3.625062942504883,108
10,5,unpaired_control,c000,-0.25000572204589844,7.125127792358398,79
12,5,deploy_to_eval,c000,-1.8750934600830078,7.125127792358398,108
12,5,eval_to_deploy,c000,0.5001125335693359,3.625062942504883,108
12,5,unpaired_control,c000,-0.5000896453857422,7.125127792358398,79
14,5,deploy_to_eval,c000,-2.625030517578125,7.125127792358398,108
14,5,eval_to_deploy,c000,1.2500495910644531,3.625062942504883,108
14,5,unpaired_control,c000,-1.2500762939453125,7.125127792358398,79
16,5,deploy_to_eval,c000,-3.500072479248047,7.125127792358398,108
16,5,eval_to_deploy,c000,3.0001049041748047,3.625062942504883,108
16,5,unpaired_control,c000,-1.7500801086425781,7.125127792358398,79
18,5,deploy_to_eval,c000,-3.6250667572021484,7.125127792358398,108
18,5,eval_to_deploy,c000,3.0000534057617188,3.625062942504883,108
18,5,unpaired_control,c000,-1.7501163482666016,7.125127792358398,79
20,5,deploy_to_eval,c000,-3.500049591064453,7.125127792358398,108
20,5,eval_to_deploy,c000,3.375102996826172,3.625062942504883,108
20,5,unpaired_control,c000,-1.7501068115234375,7.125127792358398,79
22,5,deploy_to_eval,c000,-3.3750839233398438,7.125127792358398,108
22,5,eval_to_deploy,c000,2.7500858306884766,3.625062942504883,108
22,5,unpaired_control,c000,-1.7501068115234375,7.125127792358398,79
24,5,deploy_to_eval,c000,-3.500032424926758,7.125127792358398,108
24,5,eval_to_deploy,c000,3.1251049041748047,3.625062942504883,108
24,5,unpaired_control,c000,-2.000089645385742,7.125127792358398,79
26,5,deploy_to_eval,c000,-3.3750743865966797,7.125127792358398,108
26,5,eval_to_deploy,c000,3.250082015991211,3.625062942504883,108
26,5,unpaired_control,c000,-2.0000858306884766,7.125127792358398,79
27,5,deploy_to_eval,c000,-3.5000648498535156,7.125127792358398,108
27,5,eval_to_deploy,c000,3.5000648498535156,3.625062942504883,108
27,5,unpaired_control,c000,-2.0000782012939453,7.125127792358398,79
0,6,deploy_to_eval,c013,-0.37499237060546875,8.750007629394531,122
0,6,eval_to_deploy,c013,0.3750019073486328,5.125049591064453,122
0,6,unpaired_control,c013,0.3749961853027344,8.750007629394531,59
2,6,deploy_to_eval,c013,-0.5,8.750007629394531,122
2,6,eval_to_deploy,c013,-0.1250286102294922,5.125049591064453,122
2,6,unpaired_control,c013,0.625,8.750007629394531,59
4,6,deploy_to_eval,c013,-0.24998855590820312,8.750007629394531,122
4,6,eval_to_deploy,c013,0.24996185302734375,5.125049591064453,122
4,6,unpaired_control,c013,2.3749961853027344,8.750007629394531,59
6,6,deploy_to_eval,c013,1.2500152587890625,8.750007629394531,122
6,6,eval_to_deploy,c013,0.8749885559082031,5.125049591064453,122
6,6,unpaired_control,c013,3.3750038146972656,8.750007629394531,59
8,6,deploy_to_eval,c013,1.1250076293945312,8.750007629394531,122
8,6,eval_to_deploy,c013,0.9999790191650391,5.125049591064453,122
8,6,unpaired_control,c013,3.3750038146972656,8.750007629394531,59
10,6,deploy_to_eval,c013,0.6250476837158203,8.750007629394531,122
10,6,eval_to_deploy,c013,-0.12502098083496094,5.125049591064453,122
10,6,unpaired_control,c013,2.8750247955322266,8.750007629394531,59
12,6,deploy_to_eval,c013,0.6250076293945312,8.750007629394531,122
12,6,eval_to_deploy,c013,1.3749580383300781,5.125049591064453,122
12,6,unpaired_control,c013,0.25005340576171875,8.750007629394531,59
14,6,deploy_to_eval,c013,-1.7499866485595703,8.750007629394531,122
14,6,eval_to_deploy,c013,0.999969482421875,5.125049591064453,122
14,6,unpaired_control,c013,-7.999977111816406,8.750007629394531,59
16,6,deploy_to_eval,c013,-3.374969482421875,8.750007629394531,122
16,6,eval_to_deploy,c013,3.6249656677246094,5.125049591064453,122
16,6,unpaired_control,c013,-10.249982833862305,8.750007629394531,59
18,6,deploy_to_eval,c013,-3.6249866485595703,8.750007629394531,122
18,6,eval_to_deploy,c013,3.4999618530273438,5.125049591064453,122
18,6,unpaired_control,c013,-10.374979019165039,8.750007629394531,59
20,6,deploy_to_eval,c013,-3.6249866485595703,8.750007629394531,122
20,6,eval_to_deploy,c013,3.4999618530273438,5.125049591064453,122
20,6,unpaired_control,c013,-10.624979019165039,8.750007629394531,59
22,6,deploy_to_eval,c013,-3.874979019165039,8.750007629394531,122
22,6,eval_to_deploy,c013,3.3749618530273438,5.125049591064453,122
22,6,unpaired_control,c013,-10.249996185302734,8.750007629394531,59
24,6,deploy_to_eval,c013,-3.7499752044677734,8.750007629394531,122
24,6,eval_to_deploy,c013,3.6249618530273438,5.125049591064453,122
24,6,unpaired_control,c013,-10.25,8.750007629394531,59
26,6,deploy_to_eval,c013,-3.6249656677246094,8.750007629394531,122
26,6,eval_to_deploy,c013,3.7499618530273438,5.125049591064453,122
26,6,unpaired_control,c013,-9.999996185302734,8.750007629394531,59
27,6,deploy_to_eval,c013,-3.624958038330078,8.750007629394531,122
27,6,eval_to_deploy,c013,3.624958038330078,5.125049591064453,122
27,6,unpaired_control,c013,-9.75,8.750007629394531,59
0,7,deploy_to_eval,c049,0.5,7.75,73
0,7,eval_to_deploy,c049,-0.7499828338623047,-0.9999923706054688,73
0,7,unpaired_control,c049,0.0,7.75,59
2,7,deploy_to_eval,c049,1.375,7.75,73
2,7,eval_to_deploy,c049,0.5000038146972656,-0.9999923706054688,73
2,7,unpaired_control,c049,-1.25,7.75,59
4,7,deploy_to_eval,c049,2.0,7.75,73
4,7,eval_to_deploy,c049,-1.749979019165039,-0.9999923706054688,73
4,7,unpaired_control,c049,0.25,7.75,59
6,7,deploy_to_eval,c049,4.875,7.75,73
6,7,eval_to_deploy,c049,-0.7499771118164062,-0.9999923706054688,73
6,7,unpaired_control,c049,-1.125,7.75,59
8,7,deploy_to_eval,c049,4.5,7.75,73
8,7,eval_to_deploy,c049,-1.2499866485595703,-0.9999923706054688,73
8,7,unpaired_control,c049,-2.75,7.75,59
10,7,deploy_to_eval,c049,4.125,7.75,73
10,7,eval_to_deploy,c049,-0.6249980926513672,-0.9999923706054688,73
10,7,unpaired_control,c049,2.25,7.75,59
12,7,deploy_to_eval,c049,0.0,7.75,73
12,7,eval_to_deploy,c049,-1.9999866485595703,-0.9999923706054688,73
12,7,unpaired_control,c049,1.5,7.75,59
14,7,deploy_to_eval,c049,-5.999992370605469,7.75,73
14,7,eval_to_deploy,c049,4.999996185302734,-0.9999923706054688,73
14,7,unpaired_control,c049,-5.75,7.75,59
16,7,deploy_to_eval,c049,-8.749984741210938,7.75,73
16,7,eval_to_deploy,c049,8.374992370605469,-0.9999923706054688,73
16,7,unpaired_control,c049,-10.749996185302734,7.75,59
18,7,deploy_to_eval,c049,-8.999992370605469,7.75,73
18,7,eval_to_deploy,c049,8.749992370605469,-0.9999923706054688,73
18,7,unpaired_control,c049,-10.749996185302734,7.75,59
20,7,deploy_to_eval,c049,-9.124984741210938,7.75,73
20,7,eval_to_deploy,c049,8.749992370605469,-0.9999923706054688,73
20,7,unpaired_control,c049,-10.749996185302734,7.75,59
22,7,deploy_to_eval,c049,-8.874990463256836,7.75,73
22,7,eval_to_deploy,c049,8.999992370605469,-0.9999923706054688,73
22,7,unpaired_control,c049,-10.499996185302734,7.75,59
24,7,deploy_to_eval,c049,-8.99998664855957,7.75,73
24,7,eval_to_deploy,c049,8.624992370605469,-0.9999923706054688,73
24,7,unpaired_control,c049,-10.499996185302734,7.75,59
26,7,deploy_to_eval,c049,-9.124982833862305,7.75,73
26,7,eval_to_deploy,c049,8.624992370605469,-0.9999923706054688,73
26,7,unpaired_control,c049,-10.999996185302734,7.75,59
27,7,deploy_to_eval,c049,-8.749992370605469,7.75,73
27,7,eval_to_deploy,c049,8.749992370605469,-0.9999923706054688,73
27,7,unpaired_control,c049,-10.999996185302734,7.75,59
0,8,deploy_to_eval,c058,0.24999618530273438,4.500003814697266,79
0,8,eval_to_deploy,c058,0.125,-3.2499961853027344,79
0,8,unpaired_control,c058,0.4999961853027344,4.500003814697266,59
2,8,deploy_to_eval,c058,-0.375,4.500003814697266,79
2,8,eval_to_deploy,c058,1.2500038146972656,-3.2499961853027344,79
2,8,unpaired_control,c058,-0.2500038146972656,4.500003814697266,59
4,8,deploy_to_eval,c058,-3.814697265625e-06,4.500003814697266,79
4,8,eval_to_deploy,c058,1.5,-3.2499961853027344,79
4,8,unpaired_control,c058,-0.2500038146972656,4.500003814697266,59
6,8,deploy_to_eval,c058,0.75,4.500003814697266,79
6,8,eval_to_deploy,c058,1.5,-3.2499961853027344,79
6,8,unpaired_control,c058,1.1249961853027344,4.500003814697266,59
8,8,deploy_to_eval,c058,-0.5,4.500003814697266,79
8,8,eval_to_deploy,c058,3.5,-3.2499961853027344,79
8,8,unpaired_control,c058,1.7499961853027344,4.500003814697266,59
10,8,deploy_to_eval,c058,-1.0000038146972656,4.500003814697266,79
10,8,eval_to_deploy,c058,4.75,-3.2499961853027344,79
10,8,unpaired_control,c058,2.7499961853027344,4.500003814697266,59
12,8,deploy_to_eval,c058,-1.5,4.500003814697266,79
12,8,eval_to_deploy,c058,5.250003814697266,-3.2499961853027344,79
12,8,unpaired_control,c058,2.9999961853027344,4.500003814697266,59
14,8,deploy_to_eval,c058,-6.0,4.500003814697266,79
14,8,eval_to_deploy,c058,7.25,-3.2499961853027344,79
14,8,unpaired_control,c058,1.5,4.500003814697266,59
16,8,deploy_to_eval,c058,-7.5,4.500003814697266,79
16,8,eval_to_deploy,c058,8.624996185302734,-3.2499961853027344,79
16,8,unpaired_control,c058,-0.12499237060546875,4.500003814697266,59
18,8,deploy_to_eval,c058,-7.5,4.500003814697266,79
18,8,eval_to_deploy,c058,7.749996185302734,-3.2499961853027344,79
18,8,unpaired_control,c058,-0.12499618530273438,4.500003814697266,59
20,8,deploy_to_eval,c058,-7.75,4.500003814697266,79
20,8,eval_to_deploy,c058,7.749996185302734,-3.2499961853027344,79
20,8,unpaired_control,c058,-0.24997901916503906,4.500003814697266,59
22,8,deploy_to_eval,c058,-7.499996185302734,4.500003814697266,79
22,8,eval_to_deploy,c058,7.999996185302734,-3.2499961853027344,79
22,8,unpaired_control,c058,-0.3749656677246094,4.500003814697266,59
24,8,deploy_to_eval,c058,-7.624998092651367,4.500003814697266,79
24,8,eval_to_deploy,c058,7.749996185302734,-3.2499961853027344,79
24,8,unpaired_control,c058,-0.6249523162841797,4.500003814697266,59
26,8,deploy_to_eval,c058,-7.75,4.500003814697266,79
26,8,eval_to_deploy,c058,7.75,-3.2499961853027344,79
26,8,unpaired_control,c058,-0.7499542236328125,4.500003814697266,59
27,8,deploy_to_eval,c058,-7.75,4.500003814697266,79
27,8,eval_to_deploy,c058,7.75,-3.2499961853027344,79
27,8,unpaired_control,c058,-0.7499542236328125,4.500003814697266,59
0,9,deploy_to_eval,c024,-0.12498092651367188,3.375143051147461,116
0,9,eval_to_deploy,c024,-0.2500286102294922,3.750049591064453,116
