dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,16,final,samecls_diffcont,c008,-0.0003757476806640625,4.512083530426025,1,0,60
eval,16,readout,samecls_diffcont,c008,-1.5003032684326172,5.254410266876221,46,0,60
eval,8,task,othercls_diffcont,c008,-0.12502670288085938,3.109736680984497,60,46,60
eval,8,question,othercls_diffcont,c008,-1.4998588562011719,1.7952150106430054,46,1,60
eval,8,final,othercls_diffcont,c008,-0.0002155303955078125,1.214996576309204,1,0,60
eval,8,readout,othercls_diffcont,c008,-1.6250896453857422,1.7826015949249268,46,0,60
eval,16,task,othercls_diffcont,c008,-7.2479248046875e-05,9.95203685760498,60,46,60
eval,16,question,othercls_diffcont,c008,-2.749727249145508,5.116741180419922,46,1,60
eval,16,final,othercls_diffcont,c008,-0.7502403259277344,4.444368839263916,1,0,60
eval,16,readout,othercls_diffcont,c008,-3.3750762939453125,5.102124214172363,46,0,60
eval,8,task,samecls_samecont,c009,-3.814697265625e-06,2.750788688659668,73,46,73
eval,8,question,samecls_samecont,c009,0.37496185302734375,1.2503376007080078,46,1,73
eval,8,final,samecls_samecont,c009,-0.12495613098144531,0.6629323959350586,1,0,73
eval,8,readout,samecls_samecont,c009,0.6249523162841797,1.2375680208206177,46,0,73
eval,16,task,samecls_samecont,c009,-0.1249542236328125,8.948282241821289,73,46,73
eval,16,question,samecls_samecont,c009,0.49994850158691406,4.213491916656494,46,1,73
eval,16,final,samecls_samecont,c009,0.12491798400878906,2.1910245418548584,1,0,73
eval,16,readout,samecls_samecont,c009,0.6249103546142578,4.169525146484375,46,0,73
eval,8,task,othercls_samecont,c009,-0.9999504089355469,3.0488929748535156,72,46,72
eval,8,question,othercls_samecont,c009,0.8749828338623047,1.1709297895431519,46,1,72
eval,8,final,othercls_samecont,c009,-0.125,0.6274923086166382,1,0,72
eval,8,readout,othercls_samecont,c009,0.7500133514404297,1.1591157913208008,46,0,72
eval,16,task,othercls_samecont,c009,-0.1250152587890625,8.607091903686523,72,46,72
eval,16,question,othercls_samecont,c009,-1.1249008178710938,3.8962769508361816,46,1,72
eval,16,final,othercls_samecont,c009,-1.1249351501464844,2.222278356552124,1,0,72
eval,16,readout,othercls_samecont,c009,-2.1248416900634766,3.8598859310150146,46,0,72
eval,8,task,samecls_diffcont,c009,-0.3749885559082031,3.734705924987793,59,46,59
eval,8,question,samecls_diffcont,c009,0.500152587890625,2.167393684387207,46,1,59
eval,8,final,samecls_diffcont,c009,-0.24977684020996094,2.137575387954712,1,0,59
eval,8,readout,samecls_diffcont,c009,0.37547874450683594,2.16674542427063,46,0,59
eval,16,task,samecls_diffcont,c009,0.0002536773681640625,13.346759796142578,59,46,59
eval,16,question,samecls_diffcont,c009,1.8749027252197266,6.809284210205078,46,1,59
eval,16,final,samecls_diffcont,c009,0.37546730041503906,6.560875415802002,1,0,59
eval,16,readout,samecls_diffcont,c009,2.1249752044677734,6.803884029388428,46,0,59
eval,8,task,othercls_diffcont,c009,-0.3749351501464844,3.9299826622009277,59,46,59
eval,8,question,othercls_diffcont,c009,0.8751811981201172,2.2126786708831787,46,1,59
eval,8,final,othercls_diffcont,c009,-0.12485313415527344,2.0939486026763916,1,0,59
eval,8,readout,othercls_diffcont,c009,0.875335693359375,2.210097551345825,46,0,59
eval,16,task,othercls_diffcont,c009,0.12520790100097656,13.723069190979004,59,46,59
eval,16,question,othercls_diffcont,c009,1.1249065399169922,6.915783882141113,46,1,59
eval,16,final,othercls_diffcont,c009,0.25060081481933594,7.520384311676025,1,0,59
eval,16,readout,othercls_diffcont,c009,1.1251640319824219,6.928927421569824,46,0,59
eval,8,task,samecls_samecont,c011,0.24970054626464844,1.8549137115478516,116,46,116
eval,8,question,samecls_samecont,c011,0.3747539520263672,0.9804089069366455,46,1,116
eval,8,final,samecls_samecont,c011,0.12481117248535156,0.5682730674743652,1,0,116
eval,8,readout,samecls_samecont,c011,0.3747692108154297,0.9714494943618774,46,0,116
eval,16,task,samecls_samecont,c011,0.12492561340332031,4.112327575683594,116,46,116
eval,16,question,samecls_samecont,c011,0.37451171875,3.5809028148651123,46,1,116
eval,16,final,samecls_samecont,c011,-7.82012939453125e-05,2.0447185039520264,1,0,116
eval,16,readout,samecls_samecont,c011,0.124603271484375,3.5475075244903564,46,0,116
eval,8,task,othercls_samecont,c011,0.5000953674316406,1.9461802244186401,115,46,115
eval,8,question,othercls_samecont,c011,-0.3743114471435547,1.0838695764541626,46,1,115
eval,8,final,othercls_samecont,c011,0.12475395202636719,0.5231726169586182,1,0,115
eval,8,readout,othercls_samecont,c011,-0.24962806701660156,1.0716804265975952,46,0,115
eval,16,task,othercls_samecont,c011,0.0004119873046875,4.493526458740234,115,46,115
eval,16,question,othercls_samecont,c011,-0.6250858306884766,3.9969801902770996,46,1,115
eval,16,final,othercls_samecont,c011,-0.12421989440917969,3.178175926208496,1,0,115
eval,16,readout,othercls_samecont,c011,-0.9991950988769531,3.979180097579956,46,0,115
eval,8,task,samecls_diffcont,c011,0.37506675720214844,1.9419853687286377,79,46,79
eval,8,question,samecls_diffcont,c011,1.874734878540039,1.6410105228424072,46,1,79
eval,8,final,samecls_diffcont,c011,0.12475204467773438,0.780605673789978,1,0,79
eval,8,readout,samecls_diffcont,c011,1.9997062683105469,1.6223061084747314,46,0,79
eval,16,task,samecls_diffcont,c011,0.12465286254882812,5.825204849243164,79,46,79
eval,16,question,samecls_diffcont,c011,2.2497596740722656,6.344411373138428,46,1,79
eval,16,final,samecls_diffcont,c011,1.1246662139892578,3.5369207859039307,1,0,79
eval,16,readout,samecls_diffcont,c011,3.124645233154297,6.283379077911377,46,0,79
eval,8,task,othercls_diffcont,c011,0.3747425079345703,2.0247793197631836,79,46,79
eval,8,question,othercls_diffcont,c011,-0.6241226196289062,1.296543836593628,46,1,79
eval,8,final,othercls_diffcont,c011,0.12479972839355469,0.7686420679092407,1,0,79
eval,8,readout,othercls_diffcont,c011,-0.6242446899414062,1.2850677967071533,46,0,79
eval,16,task,othercls_diffcont,c011,-0.000179290771484375,5.692611217498779,79,46,79
eval,16,question,othercls_diffcont,c011,-0.6249065399169922,4.602983474731445,46,1,79
