dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,28,readout,samecls_samecont,c008,-0.2835502624511719,63.62275695800781,44,0,67
eval,16,task,othercls_samecont,c008,-0.17951393127441406,27.457622528076172,67,44,67
eval,16,question,othercls_samecont,c008,-0.3557624816894531,11.729994773864746,44,1,67
eval,16,final,othercls_samecont,c008,0.09659957885742188,7.040885925292969,1,0,67
eval,16,readout,othercls_samecont,c008,-0.2818717956542969,11.623424530029297,44,0,67
eval,28,task,othercls_samecont,c008,-0.023977279663085938,133.8955078125,67,44,67
eval,28,question,othercls_samecont,c008,-0.05172538757324219,75.4875717163086,44,1,67
eval,28,final,othercls_samecont,c008,-0.436981201171875,37.2993049621582,1,0,67
eval,28,readout,othercls_samecont,c008,-0.4832000732421875,74.6196517944336,44,0,67
eval,16,task,samecls_diffcont,c008,-0.11861419677734375,37.02179718017578,53,44,53
eval,16,question,samecls_diffcont,c008,0.04670143127441406,16.58911895751953,44,1,53
eval,16,final,samecls_diffcont,c008,-0.019292831420898438,10.747993469238281,1,0,53
eval,16,readout,samecls_diffcont,c008,-0.015096664428710938,16.45636749267578,44,0,53
eval,28,task,samecls_diffcont,c008,0.0018901824951171875,163.54107666015625,53,44,53
eval,28,question,samecls_diffcont,c008,-0.05546379089355469,77.5489273071289,44,1,53
eval,28,final,samecls_diffcont,c008,-0.06825447082519531,38.17034149169922,1,0,53
eval,28,readout,samecls_diffcont,c008,-0.12087249755859375,76.65396118164062,44,0,53
eval,16,task,othercls_diffcont,c008,-0.1625995635986328,39.20997619628906,53,44,53
eval,16,question,othercls_diffcont,c008,-0.5423946380615234,18.364421844482422,44,1,53
eval,16,final,othercls_diffcont,c008,0.036685943603515625,11.822864532470703,1,0,53
eval,16,readout,othercls_diffcont,c008,-0.4824981689453125,18.215749740600586,44,0,53
eval,28,task,othercls_diffcont,c008,0.0060710906982421875,179.37774658203125,53,44,53
eval,28,question,othercls_diffcont,c008,-0.05111122131347656,80.5176010131836,44,1,53
eval,28,final,othercls_diffcont,c008,-0.6533565521240234,45.69080352783203,1,0,53
eval,28,readout,othercls_diffcont,c008,-0.7015209197998047,79.72608184814453,44,0,53
eval,16,task,samecls_samecont,c009,-0.09361457824707031,24.233613967895508,69,44,69
eval,16,question,samecls_samecont,c009,-0.13485336303710938,12.576021194458008,44,1,69
eval,16,final,samecls_samecont,c009,-0.05850028991699219,7.3091278076171875,1,0,69
eval,16,readout,samecls_samecont,c009,-0.21433639526367188,12.456319808959961,44,0,69
eval,28,task,samecls_samecont,c009,-0.008565902709960938,111.29813385009766,69,44,69
