layer,framing,alpha,content_id,delta
3,eval,-4.0,c023,0.16304683685302734
3,eval,-4.0,c046,-0.22367382049560547
3,eval,-4.0,c022,0.0019092559814453125
3,eval,-4.0,c050,0.22383785247802734
3,eval,-4.0,c006,0.27539539337158203
3,eval,-4.0,c017,0.027774810791015625
3,eval,-4.0,c039,0.04785919189453125
3,eval,-4.0,c036,0.2211132049560547
3,eval,-4.0,c009,-0.07024574279785156
3,eval,-4.0,c000,-0.11255264282226562
3,eval,-4.0,c013,-0.061507225036621094
3,eval,-4.0,c049,0.15833091735839844
3,eval,-4.0,c058,-0.055983543395996094
3,eval,-4.0,c024,0.04407691955566406
3,eval,-4.0,c042,-0.05306816101074219
3,eval,-4.0,c047,-0.03839111328125
3,eval,-4.0,c043,0.2514457702636719
3,eval,-4.0,c003,-0.0952291488647461
3,eval,-4.0,c041,-0.03382301330566406
3,eval,-4.0,c008,0.189300537109375
3,eval,-4.0,c045,-0.06041145324707031
3,eval,-4.0,c011,0.07480716705322266
3,eval,-4.0,c020,0.27521610260009766
3,eval,-4.0,c044,-0.05608367919921875
3,eval,-4.0,c016,0.019379615783691406
3,eval,-4.0,c056,-0.08434104919433594
3,eval,-4.0,c025,-0.024008750915527344
3,eval,-4.0,c029,0.12024116516113281
3,eval,-4.0,c014,-0.12615680694580078
3,eval,-4.0,c002,0.09051704406738281
3,eval,-4.0,c023,0.05373191833496094
3,eval,-4.0,c046,-0.00299835205078125
3,eval,-4.0,c022,0.014455795288085938
3,eval,-4.0,c050,0.2230825424194336
3,deploy,4.0,c006,-0.014792442321777344
3,deploy,4.0,c017,0.16196537017822266
3,deploy,4.0,c039,0.13198184967041016
3,deploy,4.0,c036,0.12076377868652344
3,deploy,4.0,c009,0.1823434829711914
3,deploy,4.0,c000,0.20485782623291016
3,deploy,4.0,c013,-0.047387123107910156
3,deploy,4.0,c049,0.038704872131347656
3,deploy,4.0,c058,0.07415199279785156
3,deploy,4.0,c024,0.17004871368408203
3,deploy,4.0,c042,0.20827674865722656
3,deploy,4.0,c047,0.04115009307861328
3,deploy,4.0,c043,0.22789573669433594
3,deploy,4.0,c003,0.1924114227294922
3,deploy,4.0,c041,0.33652400970458984
3,deploy,4.0,c008,0.010226249694824219
3,deploy,4.0,c045,0.18552207946777344
3,deploy,4.0,c011,0.08800029754638672
3,deploy,4.0,c020,0.22689056396484375
3,deploy,4.0,c044,0.178436279296875
3,deploy,4.0,c016,0.16907310485839844
3,deploy,4.0,c056,0.08988761901855469
3,deploy,4.0,c025,0.14122676849365234
3,deploy,4.0,c029,0.15772056579589844
3,deploy,4.0,c014,0.10936737060546875
3,deploy,4.0,c002,0.08203506469726562
3,deploy,4.0,c023,0.09528732299804688
3,deploy,4.0,c046,0.255157470703125
3,deploy,4.0,c022,0.1376190185546875
3,deploy,4.0,c050,0.11466026306152344
3,deploy,4.0,c006,0.11522483825683594
3,deploy,4.0,c017,0.11675643920898438
3,deploy,4.0,c039,0.25039196014404297
3,deploy,4.0,c036,0.16471004486083984
3,deploy,4.0,c009,0.07559013366699219
3,deploy,4.0,c000,0.2678194046020508
3,deploy,4.0,c013,0.04793548583984375
3,deploy,4.0,c049,0.19855594635009766
3,deploy,4.0,c058,0.2010211944580078
3,deploy,4.0,c024,0.056929588317871094
3,deploy,4.0,c042,0.17376708984375
3,deploy,4.0,c047,0.129058837890625
3,deploy,4.0,c043,0.19285297393798828
3,deploy,4.0,c003,0.1679525375366211
3,deploy,4.0,c041,0.2571897506713867
3,deploy,4.0,c008,0.29552459716796875
3,deploy,4.0,c045,0.14988231658935547
3,deploy,4.0,c011,0.07780265808105469
3,deploy,4.0,c020,0.11655616760253906
3,deploy,4.0,c044,0.14417266845703125
3,deploy,4.0,c016,0.13326263427734375
3,deploy,4.0,c056,0.09403133392333984
3,deploy,4.0,c025,0.12323760986328125
3,deploy,4.0,c029,0.03235912322998047
3,deploy,4.0,c014,0.2717924118041992
3,deploy,4.0,c002,0.293426513671875
3,deploy,4.0,c023,0.16374588012695312
3,deploy,4.0,c046,0.3024616241455078
3,deploy,4.0,c022,0.14198970794677734
3,deploy,4.0,c050,0.18956279754638672
4,eval,-4.0,c006,-0.16611862182617188
4,eval,-4.0,c017,-0.2555999755859375
4,eval,-4.0,c039,-0.3450736999511719
4,eval,-4.0,c036,-0.20538330078125
4,eval,-4.0,c009,-0.19115543365478516
4,eval,-4.0,c000,-0.33820152282714844
4,eval,-4.0,c013,-0.13694095611572266
4,eval,-4.0,c049,0.010760307312011719
4,eval,-4.0,c058,-0.2840394973754883
4,eval,-4.0,c024,-0.3252296447753906
4,eval,-4.0,c042,-0.3179044723510742
4,eval,-4.0,c047,-0.1875143051147461
4,eval,-4.0,c043,0.09864997863769531
4,eval,-4.0,c003,-0.4323854446411133
4,eval,-4.0,c041,-0.172882080078125
4,eval,-4.0,c008,-0.29450035095214844
4,eval,-4.0,c045,-0.184051513671875
4,eval,-4.0,c011,-0.3523674011230469
4,eval,-4.0,c020,-0.10037994384765625
4,eval,-4.0,c044,0.0981740951538086
4,eval,-4.0,c016,-0.24951171875
4,eval,-4.0,c056,-0.2936992645263672
4,eval,-4.0,c025,-0.3203611373901367
4,eval,-4.0,c029,-0.2617378234863281
4,eval,-4.0,c014,-0.2897310256958008
4,eval,-4.0,c002,-0.18970775604248047
4,eval,-4.0,c023,-0.24546241760253906
4,eval,-4.0,c046,-0.6167964935302734
4,eval,-4.0,c022,-0.23009109497070312
4,eval,-4.0,c050,-0.33884429931640625
4,eval,-4.0,c006,-0.1014719009399414
4,eval,-4.0,c017,-0.19980716705322266
4,eval,-4.0,c039,-0.24155807495117188
4,eval,-4.0,c036,-0.3924684524536133
4,eval,-4.0,c009,-0.550013542175293
4,eval,-4.0,c000,-0.25978851318359375
4,eval,-4.0,c013,-0.13367938995361328
4,eval,-4.0,c049,-0.050843238830566406
4,eval,-4.0,c058,-0.4635782241821289
4,eval,-4.0,c024,-0.38558483123779297
4,eval,-4.0,c042,-0.0950927734375
4,eval,-4.0,c047,-0.3184547424316406
4,eval,-4.0,c043,-0.06365394592285156
4,eval,-4.0,c003,-0.3229866027832031
4,eval,-4.0,c041,-0.18485546112060547
4,eval,-4.0,c008,-0.4433135986328125
4,eval,-4.0,c045,-0.31661510467529297
4,eval,-4.0,c011,0.014386177062988281
4,eval,-4.0,c020,-0.09560012817382812
4,eval,-4.0,c044,0.09446907043457031
4,eval,-4.0,c016,-0.3322315216064453
4,eval,-4.0,c056,-0.13775062561035156
4,eval,-4.0,c025,-0.2350902557373047
4,eval,-4.0,c029,-0.26456642150878906
4,eval,-4.0,c014,-0.2088642120361328
