layer,region,source,content_id,pair,delta,a,b
28,full,unpaired_eval,c009,5,-0.2556419372558594,52,0
28,readout,unpaired_eval,c009,5,-0.2826118469238281,44,0
28,task,unpaired_eval,c009,5,0.008817672729492188,52,44
10,full,paired,c011,6,-0.09054183959960938,122,0
10,readout,paired,c011,6,-0.06121253967285156,44,0
10,task,paired,c011,6,0.005931854248046875,122,44
10,full,sameclass,c011,6,0.02219390869140625,125,0
10,readout,sameclass,c011,6,-0.029100418090820312,44,0
10,task,sameclass,c011,6,0.01459503173828125,125,44
10,full,unpaired,c011,6,0.05045318603515625,74,0
10,readout,unpaired,c011,6,0.02392578125,44,0
10,task,unpaired,c011,6,0.07224273681640625,74,44
10,full,unpaired_eval,c011,6,0.7721118927001953,74,0
10,readout,unpaired_eval,c011,6,0.8126964569091797,44,0
10,task,unpaired_eval,c011,6,-0.0055980682373046875,74,44
16,full,paired,c011,6,-0.12930679321289062,122,0
16,readout,paired,c011,6,-0.10682296752929688,44,0
16,task,paired,c011,6,-0.04232215881347656,122,44
16,full,sameclass,c011,6,-0.06552696228027344,125,0
16,readout,sameclass,c011,6,-0.042926788330078125,44,0
16,task,sameclass,c011,6,-0.038055419921875,125,44
16,full,unpaired,c011,6,0.08668327331542969,74,0
16,readout,unpaired,c011,6,0.023372650146484375,44,0
16,task,unpaired,c011,6,0.04987525939941406,74,44
16,full,unpaired_eval,c011,6,0.9547367095947266,74,0
16,readout,unpaired_eval,c011,6,1.015899658203125,44,0
16,task,unpaired_eval,c011,6,-0.05644798278808594,74,44
28,full,paired,c011,6,-0.19504356384277344,122,0
28,readout,paired,c011,6,-0.20783615112304688,44,0
28,task,paired,c011,6,0.014093399047851562,122,44
28,full,sameclass,c011,6,-0.048450469970703125,125,0
28,readout,sameclass,c011,6,-0.06701850891113281,44,0
28,task,sameclass,c011,6,0.0189361572265625,125,44
28,full,unpaired,c011,6,0.10585403442382812,74,0
28,readout,unpaired,c011,6,0.08792686462402344,44,0
28,task,unpaired,c011,6,0.020448684692382812,74,44
28,full,unpaired_eval,c011,6,1.029531478881836,74,0
28,readout,unpaired_eval,c011,6,1.030303955078125,44,0
28,task,unpaired_eval,c011,6,0.007883071899414062,74,44
10,full,paired,c013,7,-0.010097503662109375,122,0
10,readout,paired,c013,7,-0.1526031494140625,44,0
10,task,paired,c013,7,0.32114601135253906,122,44
10,full,sameclass,c013,7,-0.2630443572998047,122,0
10,readout,sameclass,c013,7,-0.15401649475097656,44,0
10,task,sameclass,c013,7,0.1364765167236328,122,44
10,full,unpaired,c013,7,-0.04017066955566406,74,0
10,readout,unpaired,c013,7,-0.03941154479980469,44,0
10,task,unpaired,c013,7,0.06871604919433594,74,44
10,full,unpaired_eval,c013,7,-0.8267669677734375,52,0
10,readout,unpaired_eval,c013,7,-0.632080078125,44,0
10,task,unpaired_eval,c013,7,-0.04222869873046875,52,44
16,full,paired,c013,7,-0.8628787994384766,122,0
16,readout,paired,c013,7,-1.004364013671875,44,0
16,task,paired,c013,7,0.19817352294921875,122,44
16,full,sameclass,c013,7,-1.0476799011230469,122,0
16,readout,sameclass,c013,7,-1.1424274444580078,44,0
16,task,sameclass,c013,7,0.18496131896972656,122,44
16,full,unpaired,c013,7,-1.1305713653564453,74,0
16,readout,unpaired,c013,7,-1.1326770782470703,44,0
16,task,unpaired,c013,7,0.022600173950195312,74,44
16,full,unpaired_eval,c013,7,-1.745523452758789,52,0
16,readout,unpaired_eval,c013,7,-1.7851390838623047,44,0
16,task,unpaired_eval,c013,7,0.07930946350097656,52,44
28,full,paired,c013,7,-0.9180622100830078,122,0
28,readout,paired,c013,7,-0.9322509765625,44,0
28,task,paired,c013,7,0.029825210571289062,122,44
28,full,sameclass,c013,7,-0.9911823272705078,122,0
28,readout,sameclass,c013,7,-0.9929084777832031,44,0
28,task,sameclass,c013,7,0.011774063110351562,122,44
28,full,unpaired,c013,7,-1.1303215026855469,74,0
28,readout,unpaired,c013,7,-1.1216106414794922,44,0
28,task,unpaired,c013,7,-0.00136566162109375,74,44
28,full,unpaired_eval,c013,7,-1.745962142944336,52,0
28,readout,unpaired_eval,c013,7,-1.721609115600586,44,0
28,task,unpaired_eval,c013,7,-0.013050079345703125,52,44
10,full,paired,c014,8,0.8437023162841797,52,0
10,readout,paired,c014,8,0.502960205078125,44,0
10,task,paired,c014,8,0.33029747009277344,52,44
10,full,sameclass,c014,8,0.7929649353027344,52,0
10,readout,sameclass,c014,8,0.5494060516357422,44,0
10,task,sameclass,c014,8,0.2619152069091797,52,44
10,full,unpaired,c014,8,1.0254058837890625,52,0
10,readout,unpaired,c014,8,0.7171897888183594,44,0
10,task,unpaired,c014,8,0.3928813934326172,52,44
10,full,unpaired_eval,c014,8,0.6273727416992188,52,0
10,readout,unpaired_eval,c014,8,0.36719322204589844,44,0
10,task,unpaired_eval,c014,8,0.3725109100341797,52,44
16,full,paired,c014,8,0.7032661437988281,52,0
16,readout,paired,c014,8,0.7146091461181641,44,0
16,task,paired,c014,8,-0.0003986358642578125,52,44
16,full,sameclass,c014,8,1.1600208282470703,52,0
16,readout,sameclass,c014,8,1.238372802734375,44,0
16,task,sameclass,c014,8,-0.06726264953613281,52,44
16,full,unpaired,c014,8,1.0028915405273438,52,0
16,readout,unpaired,c014,8,0.9778652191162109,44,0
16,task,unpaired,c014,8,0.0162200927734375,52,44
16,full,unpaired_eval,c014,8,0.5736370086669922,52,0
16,readout,unpaired_eval,c014,8,0.6128787994384766,44,0
16,task,unpaired_eval,c014,8,0.02663421630859375,52,44
28,full,paired,c014,8,0.6347103118896484,52,0
28,readout,paired,c014,8,0.6238517761230469,44,0
28,task,paired,c014,8,0.00885009765625,52,44
28,full,sameclass,c014,8,1.0178413391113281,52,0
28,readout,sameclass,c014,8,1.010702133178711,44,0
28,task,sameclass,c014,8,0.008420944213867188,52,44
28,full,unpaired,c014,8,0.8959102630615234,52,0
28,readout,unpaired,c014,8,0.8968067169189453,44,0
28,task,unpaired,c014,8,-0.001819610595703125,52,44
28,full,unpaired_eval,c014,8,0.5162391662597656,52,0
28,readout,unpaired_eval,c014,8,0.5043411254882812,44,0
28,task,unpaired_eval,c014,8,0.01099395751953125,52,44
10,full,paired,c016,9,0.5892848968505859,111,0
10,readout,paired,c016,9,0.4262256622314453,44,0
10,task,paired,c016,9,0.23837661743164062,111,44
10,full,sameclass,c016,9,0.14168930053710938,111,0
10,readout,sameclass,c016,9,0.10085868835449219,44,0
10,task,sameclass,c016,9,0.08456230163574219,111,44
10,full,unpaired,c016,9,0.20763015747070312,74,0
10,readout,unpaired,c016,9,0.039638519287109375,44,0
10,task,unpaired,c016,9,0.11804008483886719,74,44
10,full,unpaired_eval,c016,9,0.1578235626220703,74,0
10,readout,unpaired_eval,c016,9,0.14693641662597656,44,0
10,task,unpaired_eval,c016,9,0.003810882568359375,74,44
16,full,paired,c016,9,0.4472675323486328,111,0
16,readout,paired,c016,9,0.4613685607910156,44,0
16,task,paired,c016,9,0.023143768310546875,111,44
16,full,sameclass,c016,9,0.13072776794433594,111,0
16,readout,sameclass,c016,9,0.2131061553955078,44,0
16,task,sameclass,c016,9,-0.05722236633300781,111,44
16,full,unpaired,c016,9,0.09782791137695312,74,0
16,readout,unpaired,c016,9,0.043804168701171875,44,0
16,task,unpaired,c016,9,-0.0016765594482421875,74,44
