arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
constructed,eval,8,readout,othercls_diffcont,c002,-0.37485504150390625,1.2676504850387573,0.1568441092967987,0.8125057220458984,0.6176294088363647,1.0655888319015503,0,p00043,79,46,0,0
constructed_min,eval,8,readout,othercls_diffcont,c002,-0.3748798370361328,0.9853420257568359,0.12171755731105804,0.6277984976768494,0.39352837204933167,0.9296219348907471,0,p00043,79,46,0,0
unmatched,eval,8,task,samecls_samecont,c002,-3.62396240234375e-05,1.514740228652954,0.1885882318019867,1.0,1.0,1.0,0,p00217,102,79,46,0
unmatched,eval,8,task,othercls_samecont,c002,6.103515625e-05,1.3234442472457886,0.1645711213350296,1.0,1.0,1.0,0,p00289,102,79,46,0
unmatched,eval,8,task,samecls_diffcont,c002,-0.12499237060546875,2.1685025691986084,0.27338939905166626,1.0,1.0,1.0,0,p00272,79,79,46,0
unmatched,eval,8,task,othercls_diffcont,c002,-0.3749275207519531,2.45676326751709,0.30921757221221924,1.0,1.0,1.0,0,p00043,79,79,46,0
selected,eval,8,task,samecls_samecont,c002,-0.3749523162841797,1.9307149648666382,0.23960000276565552,1.0,1.0,1.0,0,p00909,101,79,46,3
selected,eval,8,task,othercls_samecont,c002,-0.37491607666015625,1.8385103940963745,0.23277799785137177,1.0,1.0,1.0,0,p00724,100,79,46,5
selected,eval,8,task,samecls_diffcont,c002,-0.12499237060546875,2.1685025691986084,0.27338939905166626,1.0,1.0,1.0,0,p00272,79,79,46,0
selected,eval,8,task,othercls_diffcont,c002,-0.2500171661376953,2.260064125061035,0.28490766882896423,1.0,1.0,1.0,0,p00475,79,79,46,5
constructed,eval,8,task,samecls_samecont,c002,-0.2499980926513672,1.8658368587493896,0.22838173806667328,1.291617751121521,0.9879559874534607,4.133390426635742,0,p00217,102,79,46,0
constructed_min,eval,8,task,samecls_samecont,c002,-0.12502288818359375,1.318266749382019,0.16364987194538116,0.8708168864250183,0.7312820553779602,1.0,0,p00217,102,79,46,0
constructed,eval,8,task,othercls_samecont,c002,1.9073486328125e-06,1.865752100944519,0.22906963527202606,1.4827231168746948,1.034140944480896,5.32069730758667,0,p00289,102,79,46,0
constructed_min,eval,8,task,othercls_samecont,c002,2.47955322265625e-05,1.3181744813919067,0.1638672947883606,0.9952641129493713,0.905897855758667,1.0,0,p00289,102,79,46,0
constructed,eval,8,task,samecls_diffcont,c002,-1.33514404296875e-05,1.8659895658493042,0.23088227212429047,0.9083878993988037,0.5291616916656494,1.01376211643219,0,p00272,79,79,46,0
constructed_min,eval,8,task,samecls_diffcont,c002,-1.9073486328125e-06,1.3183099031448364,0.16195350885391235,0.6770895719528198,0.10445675998926163,0.9134008884429932,0,p00272,79,79,46,0
constructed,eval,8,task,othercls_diffcont,c002,-0.2498950958251953,1.8659113645553589,0.2311142385005951,0.7763453722000122,0.5646978616714478,0.8983134031295776,0,p00043,79,79,46,0
constructed_min,eval,8,task,othercls_diffcont,c002,-0.12495231628417969,1.318460464477539,0.1620953232049942,0.5749107003211975,0.10613229870796204,0.7869342565536499,0,p00043,79,79,46,0
unmatched,eval,16,final,samecls_samecont,c002,-0.37491798400878906,2.9849209785461426,0.18846887350082397,1.0,1.0,1.0,0,p00217,102,1,0,0
unmatched,eval,16,final,othercls_samecont,c002,-0.24982070922851562,2.6285760402679443,0.16549263894557953,1.0,1.0,1.0,0,p00289,102,1,0,0
unmatched,eval,16,final,samecls_diffcont,c002,-0.3746833801269531,2.9027650356292725,0.18339912593364716,1.0,1.0,1.0,0,p00272,79,1,0,0
unmatched,eval,16,final,othercls_diffcont,c002,-0.3745269775390625,6.305060386657715,0.40051084756851196,1.0,1.0,1.0,0,p00043,79,1,0,0
selected,eval,16,final,samecls_samecont,c002,-0.6249313354492188,3.1040120124816895,0.19520384073257446,1.0,1.0,1.0,0,p00909,101,1,0,3
selected,eval,16,final,othercls_samecont,c002,-0.24984359741210938,2.716620683670044,0.16972355544567108,1.0,1.0,1.0,0,p00691,102,1,0,4
selected,eval,16,final,samecls_diffcont,c002,-0.3746833801269531,2.9027650356292725,0.18339912593364716,1.0,1.0,1.0,0,p00272,79,1,0,0
selected,eval,16,final,othercls_diffcont,c002,-0.125,3.2875120639801025,0.20675219595432281,1.0,1.0,1.0,0,p00475,79,1,0,5
constructed,eval,16,final,samecls_samecont,c002,-0.4998149871826172,3.7048046588897705,0.23373891413211823,1.241349697113037,1.241349697113037,1.241349697113037,0,p00217,102,1,0,0
constructed_min,eval,16,final,samecls_samecont,c002,-0.37490272521972656,2.627943277359009,0.16590316593647003,0.8806182742118835,0.8806182742118835,0.8806182742118835,0,p00217,102,1,0,0
constructed,eval,16,final,othercls_samecont,c002,-0.3747749328613281,3.7046749591827393,0.2323056161403656,1.4096341133117676,1.4096341133117676,1.4096341133117676,0,p00289,102,1,0,0
constructed_min,eval,16,final,othercls_samecont,c002,-0.24982070922851562,2.6285760402679443,0.16549263894557953,1.0,1.0,1.0,0,p00289,102,1,0,0
constructed,eval,16,final,samecls_diffcont,c002,-0.37463951110839844,3.706092357635498,0.23480910062789917,1.276483178138733,1.276483178138733,1.276483178138733,0,p00272,79,1,0,0
constructed_min,eval,16,final,samecls_diffcont,c002,-0.24981689453125,2.6265342235565186,0.16572141647338867,0.9055421352386475,0.9055421352386475,0.9055421352386475,0,p00272,79,1,0,0
constructed,eval,16,final,othercls_diffcont,c002,-0.12481307983398438,3.705265522003174,0.2347874939441681,0.5876756906509399,0.5876756906509399,0.5876756906509399,0,p00043,79,1,0,0
constructed_min,eval,16,final,othercls_diffcont,c002,-0.2497539520263672,2.629999876022339,0.16544640064239502,0.4168994128704071,0.4168994128704071,0.4168994128704071,0,p00043,79,1,0,0
unmatched,eval,16,readout,samecls_samecont,c002,-0.8747844696044922,3.8551278114318848,0.22763268649578094,1.0,1.0,1.0,0,p00217,102,46,0,0
unmatched,eval,16,readout,othercls_samecont,c002,-0.6247577667236328,4.043726444244385,0.23890918493270874,1.0,1.0,1.0,0,p00289,102,46,0,0
unmatched,eval,16,readout,samecls_diffcont,c002,-0.12479019165039062,4.032001972198486,0.24007833003997803,1.0,1.0,1.0,0,p00272,79,46,0,0
unmatched,eval,16,readout,othercls_diffcont,c002,-2.2480506896972656,5.96625280380249,0.3558768928050995,1.0,1.0,1.0,0,p00043,79,46,0,0
selected,eval,16,readout,samecls_samecont,c002,-0.7496986389160156,4.163390159606934,0.2477572113275528,1.0,1.0,1.0,0,p00754,101,46,0,2
